project_accession,species_latin_name,species_common_name,site_label,political_entity,paper_doi,paper_url,supplementary_source,source_artifact_path,source_artifact_kind,source_locator,exact_source_text,source_support_status,coordinate_basis,latitude_text,longitude_text,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB30282,Sus scrofa domesticus,pig,Near East and Europe pig domestication transect,Turkey and Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,article_html_abstract,abstract,"Pig domestication had begun by ~10,500 y before the present (BP) in the Near East, and mitochondrial DNA suggests that pigs arrived in Europe alongside farmers ~8,500 y BP.",article_exact_quote,inferred_region_centroid,39.00,35.00,~10500-6000 BP pig turnover transect,6000,10500,bp_window,false,domesticated_core,"This is a broad domestication transect, not one excavation site, so the atlas point remains an inferred regional centroid.",
PRJEB30282,Sus scrofa domesticus,pig,Abu Ghosh,Israel,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160875 || Sheet1!row1663,"ENA archive metadata identifies sample SAMEA5160875 as Sus scrofa (tax_id 9823). || AA042 | previous_extraction_code=GL1141 | mtdna_accession=- | source=Liora Horwitz | museum_or_sample_code=Israel anc4, AG 40, 0.64 | additional_sample_information=- | location=Abu Ghosh | country=Israel | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=8895+-60 uncal (10198-9774 cal BP) indirect date | source_mean_years_bp=- | period=Mid Pre-Pottery Neolithic B | group=NEU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=unresolved_missing_source_mean | domestication_disposition=excluded_domestication_unknown",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Acemhöyük,Turkey,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161000 || Sheet1!row488,"ENA archive metadata identifies sample SAMEA5161000 as Sus scrofa (tax_id 9823). || AA324 | previous_extraction_code=- | mtdna_accession=- | source=Benjamin Arbuckle | museum_or_sample_code=AC14449, TA38-39 | additional_sample_information=level III, ULCK VB | location=Acemhöyük | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=1700BC, stratigraphically dated | source_mean_years_bp=3700 | period=Middle Bronze Age | group=NEU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Ajvide,Sweden,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160978 || Sheet1!row968,ENA archive metadata identifies sample SAMEA5160978 as Sus scrofa (tax_id 9823). || AA290 | previous_extraction_code=GL453 | mtdna_accession=KR075788 | source=Göran Burenhul/Inger Österholm | museum_or_sample_code=2 | additional_sample_information=- | location=Ajvide | country=Sweden | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=2800-2500 cal. BC | source_mean_years_bp=4650 | period=Middle Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=Y | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Alba Iulia-Lumea Nouă,Romania,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161034 || Sheet1!row1779,ENA archive metadata identifies sample SAMEA5161034 as Sus scrofa (tax_id 9823). || AA384 | previous_extraction_code=- | mtdna_accession=- | source=Mihai Gligor / John Chapman | museum_or_sample_code=ALN/2014 | additional_sample_information=Trench I/square A | location=Alba Iulia-Lumea Nouă | country=Romania | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=4600-4500 cal. BC | source_mean_years_bp=5750 | period=Eneolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Albertfalva Roman vicus (Budapest),Hungary,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161043 || Sheet1!row1148,ENA archive metadata identifies sample SAMEA5161043 as Sus scrofa (tax_id 9823). || AA408 | previous_extraction_code=- | mtdna_accession=- | source=Keith Dobney / László Bartosiewicz | museum_or_sample_code=- | additional_sample_information=Albertfalva - Roman vicus | location=Albertfalva Roman vicus (Budapest) | country=Hungary | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=2/3rd cent AD | source_mean_years_bp=1800 | period=- | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Arbon Bleiche 3,Switzerland,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160921 || Sheet1!row1019,ENA archive metadata identifies sample SAMEA5160921 as Sus scrofa (tax_id 9823). || AA182 | previous_extraction_code=GL15 | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=Arbon5777 | additional_sample_information=AS Kt. Thurgau | location=Arbon Bleiche 3 | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=3384-3370 cal. BC | source_mean_years_bp=5337 | period=Late Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Atij,Syria,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160880 || Sheet1!row1754,"ENA archive metadata identifies sample SAMEA5160880 as Sus scrofa (tax_id 9823). || AA051 | previous_extraction_code=LG277 | mtdna_accession=- | source=Melinda Zeder | museum_or_sample_code=DNA sample 23, Pin 9, E13-B, Lot 17 | additional_sample_information=- | location=Atij | country=Syria | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=~ 2,600 BC | source_mean_years_bp=4600 | period=Ninevite V | group=NEU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,"Augusta Raurica, Kastelen",Switzerland,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160962 || Sheet1!row1041,"ENA archive metadata identifies sample SAMEA5160962 as Sus scrofa (tax_id 9823). || AA268 | previous_extraction_code=- | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=- | additional_sample_information=M. Augst | location=Augusta Raurica, Kastelen | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=1st-3rd century AD | source_mean_years_bp=1800 | period=Roman | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Aşıklı Höyük,Turkey,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161140 || Sheet1!row1085,ENA archive metadata identifies sample SAMEA5161140 as Sus scrofa (tax_id 9823). || AL643 | previous_extraction_code=- | mtdna_accession=- | source=Joris Peters | museum_or_sample_code=AH 602.381 | additional_sample_information=- | location=Aşıklı Höyük | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=7850-7700 cal. BC | source_mean_years_bp=9778 | period=Aceramic Neolithic | group=NEW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Bademağacı Höyük,Turkey,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160992 || Sheet1!row450,"ENA archive metadata identifies sample SAMEA5160992 as Sus scrofa (tax_id 9823). || AA305 | previous_extraction_code=LG025 | mtdna_accession=- | source=Bea de Cupere | museum_or_sample_code=ENI-7, BADEM-3 | additional_sample_information=- | location=Bademağacı Höyük | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=7,000-6,000 BC | source_mean_years_bp=8500 | period=Neolithic | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,"Bandar gaz, Caspian sea",Iran,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161012 || Sheet1!row1670,"ENA archive metadata identifies sample SAMEA5161012 as Sus scrofa (tax_id 9823). || AA348 | previous_extraction_code=LG312 | mtdna_accession=- | source=Marjan Mashkour | museum_or_sample_code=MM-BG801 | additional_sample_information=- | location=Bandar gaz, Caspian sea | country=Iran | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=Modern | source_mean_years_bp=0 | period=Modern | group=NEW | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Basel-Gasfabrik,Switzerland,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160961 || Sheet1!row1043,ENA archive metadata identifies sample SAMEA5160961 as Sus scrofa (tax_id 9823). || AA266 | previous_extraction_code=GL507 | mtdna_accession=KR075788 | source=Jörg Schibler | museum_or_sample_code=1 | additional_sample_information=AS Kt. Basel-Stadt | location=Basel-Gasfabrik | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=late 2nd - early 1st century BC | source_mean_years_bp=2000 | period=Late Iron Age | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=Y | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Bercy,France,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161100 || Sheet1!row343,ENA archive metadata identifies sample SAMEA5161100 as Sus scrofa (tax_id 9823). || AA493 | previous_extraction_code=GL428 | mtdna_accession=- | source=Anne Tresset | museum_or_sample_code=43 | additional_sample_information=- | location=Bercy | country=France | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=early 4th Mil BC | source_mean_years_bp=6000 | period=Chasseen | group=EUD-A | zooarch_status=domestic | combined_status=domestic | secondary_zooarch_status=domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_noncanonical_domestication_status,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Birsmatten-Basisgrotte,Switzerland,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160944 || Sheet1!row1045,ENA archive metadata identifies sample SAMEA5160944 as Sus scrofa (tax_id 9823). || AA241 | previous_extraction_code=GL7 | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=34 | additional_sample_information=M. Naturhistorisches Museum Bern | location=Birsmatten-Basisgrotte | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=OS (~6000-5500 BC cal) | source_mean_years_bp=7750 | period=Late Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Bodzia stan 1,Poland,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160915 || Sheet1!row366,"ENA archive metadata identifies sample SAMEA5160915 as Sus scrofa (tax_id 9823). || AA155 | previous_extraction_code=LG768 | mtdna_accession=- | source=Arkadiusz Marciniak | museum_or_sample_code=POZ-BOZ-11, E312 | additional_sample_information=- | location=Bodzia stan 1 | country=Poland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=1050-1200 AD | source_mean_years_bp=875 | period=Early Medieval | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Boulancourt,France,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160984 || Sheet1!row26,"ENA archive metadata identifies sample SAMEA5160984 as Sus scrofa (tax_id 9823). || AA297 | previous_extraction_code=GL1028 | mtdna_accession=KR075788 | source=Adrian Balasescu/Jean-Denis Vigne | museum_or_sample_code=FR2 | additional_sample_information=section 33, square A8, exterieur pit | location=Boulancourt | country=France | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=ca. 900-800 cal. BC | source_mean_years_bp=2850 | period=Final Bronze Age IIIb | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=Y | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Bundsø,Denmark,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,https://www.kulturarv.dk/ffpublic/wfs?service=WFS&version=1.1.0&request=GetFeature&typeName=fundogfortidsminder:fundogfortidsminder_punkt_ikkefredet&outputFormat=application/json&srsName=EPSG:4326&CQL_FILTER=systemnr%3D86607,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160867 || Sheet1!row1212,ENA archive metadata identifies sample SAMEA5160867 as Sus scrofa (tax_id 9823). || AA015 | previous_extraction_code=GL468 | mtdna_accession=- | source=Kim Aaris-Sørensen | museum_or_sample_code=ZMK 17 | additional_sample_information=- | location=Bundsø | country=Denmark | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=2800-2600 BC | source_mean_years_bp=4700 | period=Middle Neolithic A phase III | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=admitted_existing_context_point | domestication_disposition=admitted_domesticated_core,supplementary_table_row,named_site_geocoding,55.02158609,9.77344984,4700 BP,4700,4700,archaeological_context,false,domesticated_core,"The supplementary row and primary supplement bind the sample to this archaeological site. Coordinates are a separately curated official site-level anchor, not specimen-findspot evidence.",
PRJEB30282,Sus scrofa domesticus,pig,"Bunnik Odijk, Utrecht",Netherlands,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161189 || Sheet1!row2322,"ENA archive metadata identifies sample SAMEA5161189 as Sus scrofa (tax_id 9823). || KD025 | previous_extraction_code=- | mtdna_accession=- | source=Youri van den Hurk / Canan Cakirlar / Dan Bradley | museum_or_sample_code=vnr 116, put 4, vlak 2, spoor 124 / ""on loan"" from Provincial Depot of Utrecht / GIA-2014-29 | additional_sample_information=- | location=Bunnik Odijk, Utrecht | country=Netherlands | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=500-250 BC | source_mean_years_bp=2375 | period=Mid-Iron / Medieval | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Buran-Kaya IV,Ukraine,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161027 || Sheet1!row922,"ENA archive metadata identifies sample SAMEA5161027 as Sus scrofa (tax_id 9823). || AA372 | previous_extraction_code=- | mtdna_accession=- | source=Giedre Motuzaite Matuzeviciute / Alexander Yanevich | museum_or_sample_code=KT-41, BK-024, BKIV-08 7E, II 1B0 | additional_sample_information=- | location=Buran-Kaya IV | country=Ukraine | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=~5000 BC | source_mean_years_bp=7000 | period=Neolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Cabeço da Amoreira,Portugal,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161014 || Sheet1!row621,"ENA archive metadata identifies sample SAMEA5161014 as Sus scrofa (tax_id 9823). || AA350 | previous_extraction_code=- | mtdna_accession=- | source=Cleia Detry | museum_or_sample_code=POZ-BOD-58, B27 | additional_sample_information=- | location=Cabeço da Amoreira | country=Portugal | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=8100-7600 cal.BP | source_mean_years_bp=7850 | period=Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB30282,Sus scrofa domesticus,pig,Cabeço da Arruda,Portugal,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5161016 || Sheet1!row624,"ENA archive metadata identifies sample SAMEA5161016 as Sus scrofa (tax_id 9823). || AA352 | previous_extraction_code=GL1039 | mtdna_accession=- | source=Cleia Detry | museum_or_sample_code=POZ-BOD-68 | additional_sample_information=layer, zone B / Late Lengyel? | location=Cabeço da Arruda | country=Portugal | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=8100-7600 cal.BP | source_mean_years_bp=7850 | period=Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
