species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,published_wording,source_wording_excerpt,provenance_surface,provenance_kind,provenance_locator,dating_basis,evidence_class,precision_posture,normalization_status,normalization_rule,uncertainty_note,time_start_bp,time_end_bp,time_mean_bp,temporal_semantics
Felis catus,cat,PRJEB81815,prjeb81815:samea120246515,ACcat01,10-11 ka (Epigravettian),ENA identifies SAMEA120246515 as Felis silvestris silvestris (tax_id 463207). Exact workbook join AC01; source chronology: 10-11 ka (Epigravettian).,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66,archaeological_context,archaeological_context_date,broad_period_only,text_only_unparsed,publish the wording as text and refuse fake numeric precision,Chronology comes from the recovered sample-owned source row.,,,,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'broad_period_only', 'comparability_posture': 'contextual_label_only', 'summary_label': '10-11 ka (Epigravettian)', 'temporal_window_key': 'unresolved', 'temporal_window_label': 'Unresolved time window', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'duration_years': None, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66', 'provenance_excerpt': 'ENA identifies SAMEA120246515 as Felis silvestris silvestris (tax_id 463207). Exact workbook join AC01; source chronology: 10-11 ka (Epigravettian).', 'original_labels': ['10-11 ka (Epigravettian)'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246516,AFcat03,1610-1740 BP,ENA identifies SAMEA120246516 as Felis catus (tax_id 9685). Exact workbook join AF03; source chronology: 210-340 AD (cal AMS).,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,1610,1740,1675,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '1610-1740 BP', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 1610, 'time_end_bp': 1740, 'time_mean_bp': 1675, 'duration_years': 130, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68', 'provenance_excerpt': 'ENA identifies SAMEA120246516 as Felis catus (tax_id 9685). Exact workbook join AF03; source chronology: 210-340 AD (cal AMS).', 'original_labels': ['1610-1740 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246517,ASKcat01,9559-9899 BP,ENA identifies SAMEA120246517 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ASK01; source chronology: 7950BC (95.4%) 7610BC.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,9559,9899,9729,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '9559-9899 BP', 'temporal_window_key': 'early_holocene_and_older', 'temporal_window_label': 'Early Holocene and older (6001+ BP)', 'time_start_bp': 9559, 'time_end_bp': 9899, 'time_mean_bp': 9729, 'duration_years': 340, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196', 'provenance_excerpt': 'ENA identifies SAMEA120246517 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ASK01; source chronology: 7950BC (95.4%) 7610BC.', 'original_labels': ['9559-9899 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246518,BAcat02,8189-8379 BP,ENA identifies SAMEA120246518 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA02; source chronology: 6430BC (61.9%) 6330BC / 6320BC (33.5%) 6240BC.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,8189,8379,8284,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '8189-8379 BP', 'temporal_window_key': 'early_holocene_and_older', 'temporal_window_label': 'Early Holocene and older (6001+ BP)', 'time_start_bp': 8189, 'time_end_bp': 8379, 'time_mean_bp': 8284, 'duration_years': 190, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197', 'provenance_excerpt': 'ENA identifies SAMEA120246518 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA02; source chronology: 6430BC (61.9%) 6330BC / 6320BC (33.5%) 6240BC.', 'original_labels': ['8189-8379 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246519,BAcat03,8039-8339 BP,ENA identifies SAMEA120246519 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA03; source chronology: 6390BC (90.0%) 6210BC / 6140BC (5.4%) 6090BC.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246519 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row8 -> Table_S1!row198,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,8039,8339,8189,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '8039-8339 BP', 'temporal_window_key': 'early_holocene_and_older', 'temporal_window_label': 'Early Holocene and older (6001+ BP)', 'time_start_bp': 8039, 'time_end_bp': 8339, 'time_mean_bp': 8189, 'duration_years': 300, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246519 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row8 -> Table_S1!row198', 'provenance_excerpt': 'ENA identifies SAMEA120246519 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA03; source chronology: 6390BC (90.0%) 6210BC / 6140BC (5.4%) 6090BC.', 'original_labels': ['8039-8339 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246520,BHHLcat01,970-1180 BP,ENA identifies SAMEA120246520 as Felis catus (tax_id 9685). Exact workbook join BHHL01; source chronology: 770AD (95.4%) 980AD.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,970,1180,1075,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '970-1180 BP', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 970, 'time_end_bp': 1180, 'time_mean_bp': 1075, 'duration_years': 210, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3', 'provenance_excerpt': 'ENA identifies SAMEA120246520 as Felis catus (tax_id 9685). Exact workbook join BHHL01; source chronology: 770AD (95.4%) 980AD.', 'original_labels': ['970-1180 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246521,BHHLcat03,Roman,ENA identifies SAMEA120246521 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BHHL03; source chronology: Roman.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246521 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row12 -> Table_S1!row4,archaeological_context,archaeological_context_date,broad_period_only,text_only_unparsed,publish the wording as text and refuse fake numeric precision,Chronology comes from the recovered sample-owned source row.,,,,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'broad_period_only', 'comparability_posture': 'contextual_label_only', 'summary_label': 'Roman', 'temporal_window_key': 'unresolved', 'temporal_window_label': 'Unresolved time window', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'duration_years': None, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246521 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row12 -> Table_S1!row4', 'provenance_excerpt': 'ENA identifies SAMEA120246521 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BHHL03; source chronology: Roman.', 'original_labels': ['Roman'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246522,BPcat01,930-1060 BP,ENA identifies SAMEA120246522 as Felis catus (tax_id 9685). Exact workbook join BP01; source chronology: 890AD (32.4%) 930AD / 940AD (63.0%) 1020AD.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,930,1060,995,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '930-1060 BP', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 930, 'time_end_bp': 1060, 'time_mean_bp': 995, 'duration_years': 130, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153', 'provenance_excerpt': 'ENA identifies SAMEA120246522 as Felis catus (tax_id 9685). Exact workbook join BP01; source chronology: 890AD (32.4%) 930AD / 940AD (63.0%) 1020AD.', 'original_labels': ['930-1060 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246523,BPcat02,910-1050 BP,ENA identifies SAMEA120246523 as Felis catus (tax_id 9685). Exact workbook join BP02; source chronology: 900AD ( 4.6%) 920AD / 970AD (90.8%) 1040AD.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246523 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row14 -> Table_S1!row154,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,910,1050,980,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '910-1050 BP', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 910, 'time_end_bp': 1050, 'time_mean_bp': 980, 'duration_years': 140, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246523 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row14 -> Table_S1!row154', 'provenance_excerpt': 'ENA identifies SAMEA120246523 as Felis catus (tax_id 9685). Exact workbook join BP02; source chronology: 900AD ( 4.6%) 920AD / 970AD (90.8%) 1040AD.', 'original_labels': ['910-1050 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246524,BPcat03,920-1060 BP,ENA identifies SAMEA120246524 as Felis catus (tax_id 9685). Exact workbook join BP03; source chronology: 890AD (11.0%) 920AD / 950AD (84.4%) 1030AD.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246524 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row15 -> Table_S1!row155,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,920,1060,990,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '920-1060 BP', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 920, 'time_end_bp': 1060, 'time_mean_bp': 990, 'duration_years': 140, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246524 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row15 -> Table_S1!row155', 'provenance_excerpt': 'ENA identifies SAMEA120246524 as Felis catus (tax_id 9685). Exact workbook join BP03; source chronology: 890AD (11.0%) 920AD / 950AD (84.4%) 1030AD.', 'original_labels': ['920-1060 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246525,BREMcat05,320-510 BP,ENA identifies SAMEA120246525 as Felis catus (tax_id 9685). Exact workbook join BREM05; source chronology: 1440AD (65.0%) 1530AD / 1570AD (30.4%) 1630AD.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246525 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row16 -> Table_S1!row44,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,320,510,415,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': '320-510 BP', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 320, 'time_end_bp': 510, 'time_mean_bp': 415, 'duration_years': 190, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246525 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row16 -> Table_S1!row44', 'provenance_excerpt': 'ENA identifies SAMEA120246525 as Felis catus (tax_id 9685). Exact workbook join BREM05; source chronology: 1440AD (65.0%) 1530AD / 1570AD (30.4%) 1630AD.', 'original_labels': ['320-510 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJEB81815,prjeb81815:samea120246526,BREMcat07,16th,ENA identifies SAMEA120246526 as Felis catus (tax_id 9685). Exact workbook join BREM07; source chronology: 16th.,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246526 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row17 -> Table_S1!row45,archaeological_context,archaeological_context_date,broad_period_only,text_only_unparsed,publish the wording as text and refuse fake numeric precision,Chronology comes from the recovered sample-owned source row.,,,,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'broad_period_only', 'comparability_posture': 'contextual_label_only', 'summary_label': '16th', 'temporal_window_key': 'unresolved', 'temporal_window_label': 'Unresolved time window', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'duration_years': None, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip', 'provenance_locator': 'sample_accession:SAMEA120246526 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row17 -> Table_S1!row45', 'provenance_excerpt': 'ENA identifies SAMEA120246526 as Felis catus (tax_id 9685). Exact workbook join BREM07; source chronology: 16th.', 'original_labels': ['16th'], 'normalized_labels': [], 'uncertainty_notes': []}"
